Index,ECG,PPG_G,PPG_R,PPG_IR,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_X,GYRO_Y,GYRO_Z,
155,-0.1426702,26709,107650,113280,0.3681641,-0.9233398,0.0952148,-2.1341463,5.0609756,-2.7439024,
155,-0.1289373,26722,107655,113278,0.3686523,-0.9194336,0.0937500,-1.8902439,4.7560976,-3.0487805,
156,-0.1171117,26715,107651,113262,0.3681641,-0.9145508,0.0986328,-1.5243902,4.3292683,-3.3536585,
156,-0.1110081,26712,107647,113261,0.3657227,-0.9135742,0.1005859,-1.0975610,3.9024390,-3.6585366,
156,-0.1079563,26712,107655,113283,0.3657227,-0.9101563,0.0971680,-0.7926829,3.5365854,-3.9024390,
156,-0.1064305,26713,107656,113277,0.3647461,-0.9155273,0.0888672,-0.6707317,3.3536585,-4.0243902,
156,-0.1026157,26738,107668,113282,0.3671875,-0.9150391,0.0917969,-0.6707317,3.4146341,-3.9634146,
156,-0.0930790,26715,107661,113288,0.3730469,-0.9165039,0.1010742,-0.7317073,3.7195122,-3.8414634,
156,-0.0823978,26747,107678,113297,0.3730469,-0.9169922,0.0927734,-1.0365854,3.9634146,-3.6585366,
157,-0.0720981,26730,107698,113299,0.3725586,-0.9160156,0.0966797,-1.4634146,4.0853659,-3.5365854,
157,-0.0633242,26736,107690,113306,0.3691406,-0.9213867,0.0947266,-2.0121951,4.2073171,-3.4146341,
157,-0.0499727,26743,107705,113315,0.3686523,-0.9243164,0.0976563,-2.3780488,4.2682927,-3.4146341,
157,-0.0343324,26750,107711,113311,0.3759766,-0.9331055,0.0957031,-2.8048780,4.3902439,-3.4146341,
157,-0.0221253,26745,107718,113314,0.3759766,-0.9350586,0.0917969,-3.0487805,4.4512195,-3.4146341,
157,-0.0164033,26750,107714,113322,0.3730469,-0.9379883,0.0917969,-3.1097561,4.5731707,-3.3536585,
157,-0.0152588,26765,107735,113325,0.3710938,-0.9331055,0.0883789,-2.9268293,4.6341463,-3.2926829,
158,-0.0194550,26770,107739,113337,0.3701172,-0.9296875,0.0922852,-2.5000000,4.5731707,-3.2317073,
158,-0.0286103,26769,107756,113345,0.3691406,-0.9248047,0.0961914,-2.0731707,4.5121951,-3.1097561,
158,-0.0381471,26779,107765,113352,0.3701172,-0.9248047,0.0976563,-1.8292683,4.3902439,-2.9878049,
158,-0.0484468,26780,107777,113363,0.3706055,-0.9262695,0.0981445,-1.8902439,4.2073171,-2.8048780,
158,-0.0568392,26794,107797,113371,0.3730469,-0.9287109,0.0957031,-2.0121951,4.0243902,-2.5000000,
158,-0.0640872,26801,107800,113377,0.3676758,-0.9331055,0.0957031,-2.1951220,3.7195122,-2.0731707,
158,-0.0701907,26787,107803,113380,0.3666992,-0.9379883,0.0927734,-2.2560976,3.4146341,-1.7073171,
159,-0.0785831,26795,107825,113394,0.3686523,-0.9404297,0.0937500,-2.1341463,3.0487805,-1.3414634,
159,-0.0827792,26797,107834,113411,0.3715820,-0.9365234,0.0981445,-1.9512195,2.6219512,-1.0975610,
159,-0.0820163,26804,107853,113417,0.3754883,-0.9306641,0.0981445,-1.8292683,2.1341463,-0.9756098,
159,-0.0759128,26815,107878,113435,0.3720703,-0.9291992,0.0952148,-1.7073171,1.8292683,-0.8536585,
159,-0.0743869,26831,107882,113451,0.3676758,-0.9243164,0.0927734,-1.7682927,1.5853659,-0.7317073,
159,-0.0759128,26848,107900,113460,0.3691406,-0.9218750,0.0961914,-1.8902439,1.4024390,-0.6097561,
159,-0.0812534,26841,107920,113472,0.3740234,-0.9208984,0.0957031,-2.0121951,1.3414634,-0.5487805,
160,-0.0846866,26847,107919,113478,0.3745117,-0.9282227,0.0947266,-2.1951220,1.1585366,-0.4268293,
160,-0.0854495,26853,107942,113489,0.3706055,-0.9296875,0.0932617,-2.3780488,0.9756098,-0.3048780,
160,-0.0839237,26860,107946,113477,0.3662109,-0.9262695,0.0947266,-2.2560976,0.6707317,-0.1219512,
160,-0.0827792,26870,107961,113499,0.3618164,-0.9233398,0.0903320,-1.8902439,0.3048780,0.0000000,
