Time,Pulse Rate,BO Index,TEMP,PI,SDNN,RMSSD,VLF,LF,HF,TP
2022-04-16 12:36:57,62,98,37.3,0.011,0,0,0,0,0,0
2022-04-16 12:37:00,60,98,37.3,0.011,0,0,0,0,0,0
2022-04-16 12:37:02,60,98,37.3,0.012,0,0,0,0,0,0
2022-04-16 12:37:05,63,98,37.3,0.012,0,0,0,0,0,0
2022-04-16 12:37:07,67,98,37.3,0.011,0,0,0,0,0,0
2022-04-16 12:37:09,67,99,37.3,0.01,0,0,0,0,0,0
2022-04-16 12:37:11,67,98,37.3,0.011,0,0,0,0,0,0
2022-04-16 12:37:13,65,98,37.3,0.011,0,0,0,0,0,0
2022-04-16 12:37:16,63,98,37.3,0.011,0,0,0,0,0,0
2022-04-16 12:37:18,60,97,37.4,0.011,0,0,0,0,0,0
2022-04-16 12:37:20,58,97,37.4,0.011,0,0,0,0,0,0
2022-04-16 12:37:22,58,97,37.4,0.011,0,0,0,0,0,0
2022-04-16 12:37:24,58,98,37.4,0.01,0,0,0,0,0,0
2022-04-16 12:37:27,60,98,37.4,0.01,0,0,0,0,0,0
2022-04-16 12:37:29,64,98,37.3,0.01,0,0,0,0,0,0
2022-04-16 12:37:31,65,98,37.4,0.011,0,0,0,0,0,0
2022-04-16 12:37:33,68,97,37.4,0.01,0,0,0,0,0,0
2022-04-16 12:37:35,69,97,37.4,0.01,0,0,0,0,0,0
2022-04-16 12:37:37,69,97,37.4,0.011,0,0,0,0,0,0
2022-04-16 12:37:39,69,97,37.4,0.012,0,0,0,0,0,0
2022-04-16 12:37:42,67,97,37.4,0.011,0,0,0,0,0,0
2022-04-16 12:37:44,65,97,37.4,0.011,0,0,0,0,0,0
2022-04-16 12:37:46,64,97,37.4,0.014,0,0,0,0,0,0
2022-04-16 12:37:48,62,97,37.4,0.014,0,0,0,0,0,0
2022-04-16 12:37:51,61,97,37.4,0.014,0,0,0,0,0,0
2022-04-16 12:37:53,62,97,37.4,0.014,0,0,0,0,0,0
2022-04-16 12:37:55,65,97,37.4,0.016,0,0,0,0,0,0
2022-04-16 12:37:57,64,97,37.4,0.017,0,0,0,0,0,0
2022-04-16 12:37:59,65,97,37.4,0.014,0,0,0,0,0,0
2022-04-16 12:38:01,66,97,37.4,0.016,0,0,0,0,0,0
2022-04-16 12:38:03,65,97,37.4,0.015,0,0,0,0,0,0
2022-04-16 12:38:06,65,97,37.4,0.015,0,0,0,0,0,0
2022-04-16 12:38:09,67,98,37.4,0.014,0,0,0,0,0,0
2022-04-16 12:38:11,71,98,37.5,0.013,0,0,0,0,0,0
2022-04-16 12:38:13,75,98,37.4,0.011,0,0,0,0,0,0
2022-04-16 12:38:15,82,98,37.4,0.013,0,0,0,0,0,0
2022-04-16 12:38:17,85,98,37.5,0.012,0,0,0,0,0,0
2022-04-16 12:38:21,85,98,37.5,0.011,0,0,0,0,0,0
2022-04-16 12:38:23,88,98,37.5,0.012,0,0,0,0,0,0
2022-04-16 12:38:25,93,97,37.5,0.013,0,0,0,0,0,0
2022-04-16 12:38:27,96,97,37.5,0.013,0,0,0,0,0,0
2022-04-16 12:38:29,101,98,37.5,0.012,0,0,0,0,0,0
2022-04-16 12:38:31,108,98,37.5,0.013,0,0,0,0,0,0
