Index,ECG,PPG_G,PPG_R,PPG_IR,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_X,GYRO_Y,GYRO_Z,
209,-0.0553133,29235,112353,116937,-0.0253906,-0.9956055,0.0102539,3.1707317,-0.9146341,-0.4268293,
209,-0.0499727,29238,112369,116962,-0.0268555,-0.9956055,0.0122070,2.8048780,-0.6707317,-0.5487805,
209,-0.0453951,29248,112398,116973,-0.0317383,-1.0009766,0.0053711,2.0731707,-0.4878049,-0.6097561,
210,-0.0389101,29231,112397,116966,-0.0341797,-1.0009766,0.0087891,1.1585366,-0.3048780,-0.6707317,
210,-0.0339509,29253,112362,116940,-0.0332031,-1.0063477,0.0009766,0.3658537,-0.1829268,-0.8536585,
210,-0.0293733,29232,112330,116909,-0.0288086,-1.0029297,-0.0043945,-0.2439024,-0.0609756,-1.0365854,
210,-0.0255586,29205,112306,116895,-0.0288086,-1.0048828,-0.0092773,-0.4878049,0.1219512,-1.3414634,
210,-0.0217439,29233,112306,116914,-0.0307617,-1.0029297,-0.0102539,-0.3658537,0.2439024,-1.6463415,
210,-0.0205994,29218,112373,116954,-0.0317383,-1.0024414,-0.0078125,0.0609756,0.2439024,-1.8902439,
210,-0.0225068,29195,112452,117011,-0.0332031,-0.9990234,0.0068359,1.2804878,0.1219512,-2.0731707,
211,-0.0232697,29281,112518,117074,-0.0336914,-1.0009766,0.0131836,2.1341463,-0.1219512,-2.1341463,
211,-0.0213624,29280,112591,117125,-0.0356445,-1.0024414,0.0185547,2.9878049,-0.5487805,-2.1951220,
211,-0.0167847,29307,112638,117154,-0.0356445,-1.0014648,0.0258789,3.3536585,-1.0975610,-2.2560976,
211,-0.0122071,29289,112635,117146,-0.0317383,-1.0009766,0.0263672,2.9878049,-1.5243902,-2.2560976,
211,-0.0095368,29284,112583,117116,-0.0322266,-0.9970703,0.0273438,1.7073171,-1.8292683,-2.1341463,
211,-0.0080109,29260,112490,117029,-0.0327148,-0.9975586,0.0180664,-0.3048780,-1.8902439,-1.9512195,
211,-0.0083924,29247,112395,116960,-0.0327148,-1.0014648,0.0083008,-2.5000000,-1.7073171,-1.8292683,
212,-0.0091553,29227,112339,116909,-0.0312500,-1.0048828,0.0004883,-4.3902439,-1.4024390,-1.7073171,
212,-0.0122071,29239,112302,116881,-0.0263672,-1.0053711,-0.0014648,-5.5487805,-1.0975610,-1.6463415,
212,-0.0171662,29213,112273,116881,-0.0214844,-1.0019531,0.0004883,-5.9146341,-0.9756098,-1.5853659,
212,-0.0236512,29215,112252,116863,-0.0209961,-1.0004883,0.0034180,-5.6707317,-1.1585366,-1.4634146,
212,-0.0301362,29228,112261,116857,-0.0219727,-0.9990234,0.0004883,-4.9390244,-1.5243902,-1.2804878,
212,-0.0358583,29225,112239,116827,-0.0234375,-1.0000000,-0.0073242,-3.9634146,-2.0731707,-0.9756098,
212,-0.0385286,29209,112212,116843,-0.0219727,-0.9995117,-0.0107422,-2.7439024,-2.6219512,-0.6707317,
213,-0.0396730,29206,112200,116824,-0.0161133,-0.9970703,-0.0112305,-1.2804878,-3.0487805,-0.4878049,
213,-0.0411989,29207,112183,116812,-0.0117188,-0.9951172,-0.0083008,0.1829268,-3.2317073,-0.3658537,
213,-0.0404359,29208,112183,116805,-0.0107422,-0.9951172,-0.0068359,1.7073171,-3.2317073,-0.4268293,
213,-0.0411989,29217,112171,116813,-0.0102539,-0.9995117,-0.0029297,3.0487805,-3.1097561,-0.5487805,
213,-0.0438692,29161,112162,116809,-0.0097656,-0.9995117,-0.0034180,4.0243902,-2.9878049,-0.7317073,
213,-0.0457765,29218,112149,116836,-0.0097656,-1.0009766,-0.0102539,5.1219512,-2.8658537,-0.9756098,
213,-0.0411989,29214,112174,116835,-0.0092773,-1.0014648,-0.0136719,6.1585366,-2.8048780,-1.2804878,
214,-0.0289918,29227,112285,116914,-0.0102539,-1.0024414,-0.0053711,7.2560976,-2.7439024,-1.5853659,
214,-0.0118256,29257,112419,117035,-0.0078125,-0.9965820,0.0185547,8.5975610,-2.7439024,-1.8292683,
214,-0.0026703,29300,112586,117163,-0.0087891,-0.9921875,0.0361328,9.8780488,-2.8048780,-2.0121951,
214,0.0007629,29288,112657,117195,-0.0117188,-0.9965820,0.0444336,10.3048780,-2.8048780,-2.0121951,
214,-0.0015259,29293,112663,117213,-0.0185547,-1.0014648,0.0234375,9.4512195,-2.7439024,-1.8292683,
214,-0.0053406,29347,112741,117260,-0.0166016,-1.0083008,0.0117188,7.3170732,-2.6219512,-1.7073171,
214,-0.0114441,29315,112698,117260,-0.0117188,-0.9936523,0.0244141,4.8780488,-2.2560976,-1.5853659,
215,-0.0167847,29315,112603,117142,-0.0107422,-1.0009766,-0.0273438,2.4390244,-1.5853659,-1.5853659,
215,-0.0213624,29325,112553,117118,-0.0151367,-1.0014648,-0.0341797,0.6707317,-0.4268293,-1.7073171,
215,-0.0263215,29312,112580,117132,-0.0141602,-0.9960938,-0.0229492,0.6097561,1.0365854,-1.7682927,
215,-0.0297548,29335,112700,117220,-0.0126953,-0.9892578,0.0083008,2.4390244,2.5609756,-1.8902439,
215,-0.0244142,29380,112826,117339,-0.0078125,-0.9824219,0.0336914,5.5487805,3.7195122,-1.9512195,
215,-0.0083924,29407,112937,117404,-0.0122070,-0.9882813,0.0375977,8.6585366,4.1463415,-1.8902439,
